Nº RNC	DESENHO	MP	REVISÃO	POS	CV	EQUIPAMENTO	CONJUNTO	MODELO	DESCRIÇÃO DO DESENHO	QUANTIDADE	CLIENTE	MATERIAL	ORDEM DE COMPRA	RESPONSÁVEL	INSPETOR	DATA EMISSÃO	ÁREA RESPONSÁVEL	SETOR	DESCRIÇÃO DA RNC	INSTRUÇÃO PARA RETRABALHO	CAUSA DA RNC	JUSTIFICATIVA	VALOR
30927	P05901N1M012	1	1		010.889	Setor prensas	Módulo 710 x1515		Corrimão	01	Citroplast	AISI304L		Mário Dolato Neto	Ronaldo	02-Jun-23	Engenharia		Inclusão de itens 5 e 6 para fixação de placa do fabricante.	Conforme pede a revisão.	Erro.		R$ 100.00
30928	P05901N6701M022	1	1		010.889	Setor prensas	Passadiço superior prensas		Módulo 710 x 1515	01	Citroplast	AISI304L		João Vitor Pucci	Ronaldo	02-Jun-23	Engenharia		"Inclusão de R1 nas posições 1 e 2 e inclusão de itens 12, 13 e 14."	Conforme pede a revisão.	Erro.		R$ 100.00
30929	P11SB2400	1	1		030.027	Prensas	Montagem		Separador Ø350mm	06	Citroplast	AISI304L		Luiz Guilherme Souza	Ronaldo	05-Jun-23	Engenharia		"Pediu no desenho tubo Ø6""x40 e o correto é chapa."	Conforme revisão.	Erro.		R$ 100.00
30930	P39503C201L000	3	1		021.890	Depurador vertical	Montagem		Conjunto refrigeração e lubrificação	01	Sovel	Comercial		Evellyn Taianara Mello	Ronaldo	05-Jun-23	Engenharia		"Alterado mangueira posição 1 era Ø48x65x600mm mudou para Ø1.1/4""x50x500mm."	Montar conforme pede a revisão.	Erro de projeto.		R$ 100.00
30931	P18604L3201M003	4	1		020.225	Enroladeira	Mancal		Suporte externo mancal LC	01	Imporpel	EM-GJL-200		Mário Dolato Neto	Ronaldo	05-Jun-23	Engenharia		Adicionado duas roscas M10 para fixação suporte sensor braço de espera.	Conforme revisão.	Erro.		R$ 100.00
30932	PKT1FM0302		0		030.196	Rebobinadeira	Montagem		Manutenção rolo contra facas	01	Klabin T.B.	SAE4340		Matheus de Souza Silva	Ronaldo	05-Jun-23	Engenharia		"Pediu desenho de conjunto Ø100mm (-0,009 / +0,013) e no desenho da ponteira LA PKT1FM0301 Ø100mm (-0,05 /-0,10) ."	Corrigir para tolerância correta.	Erro.		R$ 100.00
30933	P16301J9E002	1	2		021.049	Prensa aplicadora	Estrutura		Cavalete	01	HP	SAE1020		Cintia das Graças Kosiba	Ronaldo	05-Jun-23	Engenharia		Acrescentado recorte no cavalete para livrar interferência com a calha coletora.	Conforme pede a revisão.	Erro.		R$ 100.00
30934	PNS1DM3664		0		030.789	Rebobinadeira	Montagem	MI2135	Disco de freio	01	B.O Paper	EM-GJL-400		Fundição Campos Gerais	Ronaldo	05-Jun-23	Terceiros		Falha de fundição.	Nova.	Erro.		R$ 100.00
30935	P66GAM0903		2		030.764	Suporte de faca	Porta facas		Manipulo fixação	05	Smurfitt Kappa	Comercial		Diogo	Ronaldo	06-Jun-23	Engenharia		Substituição do desenho da posição 2.	Facear peça para corrigir medida.	Erro.		R$ 100.00
30936	P84TAM6301	3	1		001.947	Cilindro secador 1300	Barras de trubulência		Arco de pressão	01	Valinhos	SAE1020		Daiane Pedroso Bueno	Ronaldo	07-Jun-23	Engenharia		Revisado ângulo de dobra e acrescentado cota de ângulo no desenho.	Conforme pede a revisão.	Erro.		R$ 100.00
30937	P84TBM0801	3	1		001.947	Cilindro secador	Barras de turbulência		Arco de pressão	210	Valinhos	Daiane		Daiane Pedroso Bueno	Ronaldo	07-Jun-23	Engenharia		Revisado ângulo de dobra e acrescentado cota de ângulo no desenho.	Conforme pede a revisão.	Erro.		R$ 100.00
30938	P84TBM4001	3	2		022.157	Cilindro secador 1500	Barras de turbulência		Arco de pressão	30	Valinhos	SAE1020		Daiane Pedroso Bueno	Ronaldo	07-Jun-23	Engenharia		Revisado ângulo de dobra e acrescentado cota de ângulo no desenho.	Conforme pede a revisão.	Erro.		R$ 100.00
30939	P84TBM4001	3	2		001.947	Cilindro secador 1500	Barras de turbulência		Arco de pressão	240	Valinhos	SAE1020		Daiane Pedroso Bueno	Ronaldo	07-Jun-23	Engenharia		Revisado ângulo de dobra e acrescentado cota de ângulo no desenho.	Conforme pede a revisão.	Erro.		R$ 100.00
30940	P84GAM2339		0		030.629	Cilindro secador	Cilindro		Ponteira LC	01	São Carlos	SAE1030		Cida	Ronaldo	07-Jun-23	Engenharia		Pediu no desenho 3 furos M24 para saque e o correto é 4 furos.	Conforme revisão.	Erro.		R$ 100.00
30941	P73PAM5903		0		021.910	Raspador crepador	Porta lâmina		Apoio inferior	01	Santapel	AISI304L		Rodrigo Machado de Mattos	Ronaldo	08-Jun-23	Produção	Usinagem Plana	Pedia mo desenho usinagem de face a face com 17mm e ficou com 18mm.	Usinar para corrigir.	Erro.		R$ 100.00
30942	P62RBM3802	1	0		022.086	Rolo prensa inferior	Rolo prensa		Camisa	01	Sonoco	EM-GJL-250		Spilrold	Ronaldo	09-Jun-23	Terceiros		"No diâmetro interno da camisa Ø410mm, está excêntrico não mantendo a espessura da camisa."	Fundir nova.	Erro.		R$ 100.00
30943	P70FAM4007	1	0		030.765	Manutenção rebobinadeira	Fixador de tubetes		Apoio do berço	02	Citroplast	SAE1020		Ricardo Mauda	Ronaldo	09-Jun-23	Engenharia		Falta de definição de cor.	Corrigir desenho com indicação de acabamento.	Erro.		R$ 100.00
30944	P1860418201M002	4	0		020.225	Setor secagem	Rolo guia		Corpo do mancal LA	20	Imporpel	EM-GJL-200		Fundição Campos Gerais	Ronaldo	09-Jun-23	Terceiros		Falha de fundição.	Nova.	Erro.		R$ 100.00
30945	PSG0GM0101		1		030.103	Tanque de licor	Redutor de acioanamento		Tampa da carcaça	01	Sengés	SAE1020		Matheus de Souza Silva	Ronaldo	13-Jun-23	Engenharia		"Alterado posição 3 de #1/2"" x18 x 986mm para barra quadrada 1/2""x1/2"" x992mm e adicionado detalhe de calandragem e removido furos Ø9 da posição 3."	Conforme pede a revisão.	Alteração de projeto.		R$ 100.00
30946	P18604B2101A003	4	2		020.225	Desagregador	Acionamento		Suporte motor	02	Imporpel	SAE1020		Evellyn Taianara Mello	Ronaldo	13-Jun-23	Engenharia		Alterado forma de montagem da peça posição 9.	Conforme pede a revisão.	Erro.		R$ 100.00
30947	P70RAM4009	1	1		030.765	Manutenção da rebobinadeira	Montagem		Fechamento estrutura	01	Citroplast	SAE1020		Ricardo Mauda	Ronaldo	13-Jun-23	Engenharia		Adicionado posição 8 e alterado a quantidade posição 6 e 7 de 42 para 50 peças.	Conforme pede a revisão.	Erro.		R$ 100.00
30948	P70FAM4006	1	1		030.765	Manutenção rebobinadeira	Fixador de tubetes		Suporte do braço	2	Citroplast	SAE1020		Ricardo Mauda	Ronaldo	13-Jun-23	Engenharia		Falta de definição de acabamento.	Conforme pede a revisão.	Erro.		R$ 100.00
30949	P21CAM1603	3	1		001.947	Desagregador	Instalação		Montagem chuveiro mod 2	01	Valinhos	AISI304L		Cláudio Brandão	Ronaldo	13-Jun-23	Engenharia		"Alterado material posição 3,4 e 5 para inox, parafuso, porca e arruela."	Montar peças conforme pede a revisão.	Erro.		R$ 100.00
30950	P21CAM1605	3	1		001.947	Desagregador	Instalação		Montagem chuveiro mod 1	01	Valinhos	AISI304L		Cláudio Brandão	Ronaldo	13-Jun-23	Engenharia		"Alterado material da posição 4, 5 e 6 para inox."	Montar peça conforme pede a revisão.	Erro.		R$ 500.00
30951	P21CAM1601	3	1		001.947	Desagregador	Calha entrada chuveiros		Calha de entrada	02	Valinhos	AISI304L		Cláudio Brandão	Ronaldo	13-Jun-23	Engenharia		Revisado detalhe dobra para 150°.	Conforme pede a revisão.	Erro de projeto.	A calha vai ser dobrada na Ippel e não consegue fazer dobra 180° (amassado).	R$ 100.00
30953	PSG0GM0119		1		030.103	Tanque de licor	Redutor de acionamento		Carcaça	01	Sengés	SAE1020		Matheus de Souza Silva	Ronaldo	14-Jun-23	Engenharia		Alterado posição 2 de chapa para barra chata.	Conforme revisão.	Erro.		R$ 100.00
30954	P18604B2101C012	4	1		020.225	Desagregador	Calhas		Fechamento tanque mod.1	01	Imporpel	AISI304L		Evellyn Taianara Mello	Ronaldo	14-Jun-23	Engenharia		"Alterado espessura posição 1 de 1/8"" para 2mm."	Conforme pede a revisão.	Erro.		R$ 100.00
30955	PNS1ZM0123		1		030.815	Refinador de discos	Redutor de avanço		Fuso de  avanço	01	B.O Paper	SAE1045		Matheus de Souza Silva	Ronaldo	14-Jun-23	Engenharia		Adicionado perfil da rosca no detalhe B.	Conforme revisão.	Erro.		R$ 100.00
30956	PNS1ZM0123		1		030.817	Refinador de discos	Redutor de avanços		Fuso de avanço	01	B.O Paper	SAE1045		Matheus de Souza Silva	Ronaldo	14-Jun-23	Engenharia		Adicionado perfil da rosca no detalhe B.	Conforme pede a revisão.	Erro.		R$ 100.00
30957	P40GAM16053		1		030.976	Formas cilindricas	Montagem		Manutenção rolo formador	01	Polpa de Madeiras	AISI304L		Matheus de Souza Silva	Ronaldo	14-Jun-23	Engenharia		"Correção na indicação dos parafusos posição 6 de 5/8"" para 5/16""."	Montar conforme pede a revisão.	Erro.		R$ 100.00
30958	P99FIM0406 R2	3	2		001.947	Desagregador	Chuveiro mod. 1 e 2		" Flange 6"""	02	Valinhos	AISI304		Cláudio Brandão	Ronaldo	15-Jun-23	Engenharia		Alterado legenda para Ø279mm.	Fabricar peça conforme pede a revisão.	Erro.		R$ 100.00
30959	P18604B21001C012	4	2		020.225	Desagregador	Calhas		Fechamento tanque mod.1	01	Imporpel	AISI304L		Evellyn Taianara Mello	Ronaldo	15-Jun-23	Engenharia		Correção do ângulo da dobra.	Conforme pede a revisão.	Erro.		R$ 100.00
30960	P20CBM4801	01	0		020.282	Depurador vertical	Carcaça		Corpo	01	ADF	AISI304		Felipe de Abreu Santos	Ronaldo	15-Jun-23	Produção	Usinagem Plana	"Pedia no desenho usinagem com Ø646mm +0,20 / +0,08 e ficou com +0,50mm."	Soldar e usinar.	Erro.		R$ 100.00
30961	P33GAM0123	1	2		030.760	Esticador tela 800	Montagem		Eixo do acoplamento	02	Sopasta	SAE1045		Evellyn Taianara Mello	Ronaldo	15-Jun-23	Engenharia		Falta de definição de acabamento.	Conforme pede a revisão.	Erro.		R$ 100.00
30962	P33GAM0123	1	2		030.846	Esticador tela 800	Montagem		Eixo do acoplamento	01	Sopasta	SAE1045		Evellyn Taianara Mello	Ronaldo	15-Jun-23	Engenharia		Falta de definição de acabamento.	Conforme revisão.	Erro.		R$ 100.00
30963	P18604B21C015	4	1		020.225	Desagregador	Calhas		Calha coletora	01	Imporpel	SAE1020		Evellyn Taianara Mello	Ronaldo	15-Jun-23	Engenharia		"Retirado emendas das posições 1,2,3,6 e 7 por consequência doi retirada 12,13,14,15 e 16."	Conforme pede a revisão.	Erro.		R$ 100.00
30964	P18604B2101Q025	4	1		020.225	Desagregador	Tanque		Corpo	02	Imporpel	SAE1020		José Israel	Ronaldo	15-Jun-23	Engenharia		"Alterado diâmetro do tubo posição 11 de 1.1/2"" para 2""."	Conforme pede a revisão.	Erro.		R$ 100.00
30965	P34EAM6909				001.947	Ampliação setor secagem	Estrutura		Viga infeiror LC Nº3	01	Valinhos	SAE1020		Nelson Luiz Ferreira	Ronaldo	16-Jun-23	Produção	Usinagem Plana	Pedia no desenho 245mm da face até o centro da furação e ficou com 345mm.	Furar na medida que pede o desenho.	Erro.		R$ 100.00
30966	P34EAM6906	3	2		001.947	Setor pós secagem	Estrutura		Viga inferior	01	Valinhos	SAE1020		Nelson Luiz Ferreira	Ronaldo	16-Jun-23	Produção	Usinagem Plana	Pedia no desenho 5565 da face até o centro da furação e foi furado com 5665mm.	Soldar e refurar na medida do que pede o desenho.	Erro.		R$ 100.00
30967	P70RAM4009	1			030.765	Manutenção rebobinadeira	Montagem		Fechamento estrutura	01	Citroplast	SAE1020		Ricardo Mauda	Ronaldo	16-Feb-23	Engenharia		Pediu na legenda parafuso M8x30  e o correto é M8x12mm.	Montar conforme revisão e devolver parafusos não utilizados para estoque.	Erro.		R$ 100.00
30968	P32408M7001R013	8	1		030.453	Rebobinadeira	Dispositivo nivelador		Guia mancal lado livre	02	Paraibuna	SAE1020		Gabriel Ferreira Mattos	Ronaldo	16-Jun-23	Engenharia		Alterado código detalhe de corte e alterado desenho para ultima revisão.	Conforme revisão.	Erro.		R$ 100.00
30969	P32408M7001R002	8	1		030.453	Rebobinadeira	Dispositivo nivelador		Seta indicadora	01	Paraibuna	AISI304		Gabriel Ferreira Mattos	Ronaldo	16-Jun-23	Engenharia		Alterado código detalhe de corte.	Conforme pede a revisão.	Erro.		R$ 100.00
30970	P32408M7001R003	8	1		030.453	Rebobinadeira	Dispositivo nivelador		Anteparo do fim de curso	01	Paraibuna	AISI304		Gabriel Ferreira Mattos	Ronaldo	16-Jun-23	Engenharia		Alterado código do detalhe de corte.	Conforme revisão.	Erro.		R$ 100.00
30971	P52AAM0302	3	0		001.947	Cortador de ponta	Acionamento		Suporte motoredutor	01	Valinhos	SAE1020		Cláudio Brandão	Ronaldo	19-Jun-23	Engenharia		Pediu no desenho laranja ral 200 e  o correto pe verde martelado.	Remover tinta e pintar conforme pede a revisão.	Erro.		R$ 100.00
30972	P441030167M001	3	1		001.947	Passadiçso inferiores	Módulo 800 x2000		Trilho 800x2000	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	19-Jun-23	Engenharia		"Alteração do detalhe de corte peças 2 e 5 e inclusão dos itens 6,7 e 8."	Conforme pede a revisão.	Alteração projeto.		R$ 100.00
30973	P4410316701M006	3	1		001.947	Setor secagem	Módulo 800x1900		Trilho 800x1900	02	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	19-Jun-23	Engenharia		"Alterado detalhe de corte peças 2 e 5. Inclusão de posição 6,7 e 8."	Conforme pede a revisão.	Alteração.		R$ 100.00
30974	P4410316701M010	3	1		001.947	Passadiços inferiores	Módulo 800 x 1700		Trilho 800 x 1700	01	Valinhos			João Vitor Pucci	Ronaldo	19-Jun-23	Engenharia		"Alterado detalhe de corte itens 2 e 5, inclusão de itens 6,7 e 8."	Conforme pede a revisão.	Erro.		R$ 100.00
30975	P4410316701M014	3	1		001.947	Passadiços inferiores	Módulo 800x1750		Trilho 800x1750	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	19-Jun-23	Engenharia		"Alteração no detalhe de corte peças 2 e 5. Inclusão dos itens 6, 7 e 8."	Conforme pede a revisão.	Erro.		R$ 100.00
30976	P34EAM7030	3	0		001.447	Sertor secagem	Estrtutura		Suporte rolo guia H445	02	Valinhos	SAE1020		Nelson Luiz Ferreira	Ronaldo	19-Jun-23	Produção	Usinagem Plana	Pedia no desenho 80 entre centro e ficou com 90mm.	Soldar e refurar.	Erro.		R$ 100.00
30977	P70OAM4003	1	1		030.765	Manutenção rebobinadeira	Mancal rolo suporte		Conjunto montagem	02	Citroplast	SAE1020		Cláudio Brandão	Ronaldo	19-Jun-23	Engenharia		Aumentar oblongo do corpo dos mancais e rolo existentes que vieram com diâmetro maior que a ultima reforma.	Usinar peça conforme pede a revisão.	Erro.		R$ 100.00
30978	P82MCM1301	3	1		022.157	Ampliação MP3	Mancal	1510 R2	Tampa externa	10	Valinhos	EM-GJL-200		Fundição Campos Gerais	Ronaldo	20-Jun-23	Terceiros		"Falha de fundição, defeito na logo em 5 peças."	Usinar para corrigir defeito.	Erro.		R$ 100.00
30979	PNS1GM0314		2		030.864	Rosca transportadora	Roscas transportadoras		Bucha de desgastes	01	B.O Paper	AISI316L		Evellyn Taianara Mello	Ronaldo	20-Jun-23	Engenharia		Incluso medidas diâmetro interno Ø110mm.	Conforme pede a revisão.	Erro.		R$ 100.00
30980	P4410316701M019	3	1		001.947	Passadiços inferiores	Escada 01		Corpo da  escada	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	20-Jun-23	Engenharia		Alteração detalhe de corte e quantidade na posição 5 e inclusão da posição 11.	Conforme pede a revisão.	Erro.		R$ 100.00
30981	P2330618201C000	06	1		030.399	Secador	Montagem		Rolo guia tela	01	Klabin T.B.	SAE4340		Luiz Guilherme Souza	Ronaldo	20-Jun-23	Engenharia		Acrescentada furações e roscas na ponteira nova.	Conforme pede a revisão.	Erro.		R$ 100.00
30982	P4410316701M010	3	2		001.947	Passadiços inferiores	Módulo 800x1700		Trilho 800x1700	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	20-Jun-23	Engenharia		OS detalhes das peças 2 e 5 estavam trocados.	Conforme pede a revisão.	Erro.		R$ 100.00
30983	PKT7FM0107	7	1		030.268	Enroladeira	Estrutura		Trilho mod. 3 LA	01	Klabin T.B.	Forjado		Rodrigo Machado de Mattos	Ronaldo	20-Jun-23	Produção	Usinagem Plana	Pedia no desenho usinagem em 15° e foi feito com 20°.	Reusinar conforme desenho.	Erro.		R$ 100.00
30984	PKTFM0107	7	1		030.268	Enroladeira	Estrutura		Trilho mod. 3 LC	01	Klabin T.B.	Aço forjado		Rodrigo Machado de Mattos	Ronaldo	20-Jun-23	Produção	Usinagem Plana	Pedia no desenho usinagem em 15° e foi feito com 20°.	Reusinar na medida do desenho.	Erro.		R$ 100.00
30985	PSG0GM0111		0		030.103	Tanque de licor	Redutor de acionamento		Bucha eixo redutor	01	Sengés	SAE1020		Edi Carlos de Souza Lima	Ronaldo	21-Jun-23	Produção	Usin. Cilíndrica Convencional	"Pedia no desenho ajuste interno de Ø70mm (+0,1 / +0,2) e ficou com +0,4mm."	Cortar peça nova e usinar na medida que pede o desenho.	Erro.		R$ 100.00
30986	P21CAM1601	3	2		001.947	Desagregador	Calha de entrada		Calha de entrada	02	Valinhos	AISI304L		Cláudio Brandão	Ronaldo	21-Jun-23	Engenharia		"Acrecentado ângulo 105°, acrescentado posição 7 e alterado comprimento da posição 4 e 5."	Erro de projeto.			R$ 100.00
30987	P34EAM6906	3	3		001.947	Setor pós secagem	Estrutura		Viga inferior LA Nº1	01	Valinhos	SAE1020		Cida	Ronaldo	21-Jun-23	Engenharia		"Alterado furações conforme indicado, pediu 2585 e o correto è 2685mm da face até o centro da furação."	Refurar conforme revisão.	Erro.		R$ 475.00
30988	P34EAM6905	3	3		001.947	Pós secagem	Estrutura		Viga inferior LC 1	01	Valinhos	SAE1020		Cida	Ronaldo	21-Jun-23	Engenharia		Alterado furações conforme indicado.	Conforme pede a revisão.	Erro.		R$ 100.00
30989	P34EAM6931	3	1		001.947	Pós secagem	Estrtutura		Coluna superior LC	01	Valinhos	SAE1020		Ricardo Mauda	Ronaldo	21-Jun-23	Engenharia		Adicionado novas roscas devifo a venda de novo equipamento.	Conforme pede a revisão.	Alteração.		R$ 100.00
30990	PNS1GM0312		0		030.864	Rosca transportadora	Roscas transportadoras		Ponteira aparafusada LC	01	B.O Paper	AISI316L		Patrick Abreu	Ronaldo	21-Jun-23	Produção	Usin. Cilíndrica Convencional	"Pedia no desenho ajsute de Ø165mm -0,01 / -0,03 e ficou com -0,2mm."	Soldar e usinar.	Erro.		R$ 100.00
30991	P34EAM6932	3	1		001.947	Pós secagem	Estrutura		Coluna superiror	01	Valinhos	SAE1020		Ricardo Mauda	Ronaldo	21-Jun-23	Engenharia		Adicionado novas roscas devido a venda de um novo equipamento.	Conforme pede a revisão.	Alteração.		R$ 100.00
30992	P73GCM1601	3	1		001.947	Raspa oscilante pós secagem	Raspa oscilante.		Corpo da raspa	01	Valinhos	SAE1020		Ricardo Mauda	Ronaldo	21-Jun-23	Engenharia		Adicionado novos roscas devido a venda de um novo equipamento.	Conforme pede a revisão.	Alteração.		R$ 100.00
30993	P99TAM0106	3	2		001.947	Prensa aplicadora	Montagem	281	Trilho 315x1000	02	Valinhos	EM-GJL-200		Fundição Campos Gerais	Ronaldo	15-Jun-23	Terceiros		"Falha de fundição, rasgo do trilho deslocado."	Dar acabamento para correção.	Falha de fundição.		R$ 100.00
30995	P18604L3901M003	4	1		020.225	Estanga Ø420mm	Mancais	2395 R1	Corpo lado livre	08	Imporpel	EM-GJS-400		Cintia das Graças Kosiba	Ronaldo	23-Jun-23	Engenharia		Inclusão de tolerância no diâmetrpo externo e no esférico.	Conforme revisão.	Erro.		R$ 100.00
30996	P18604L3901M002	4	1		020.225	Estanga Ø420mm	Mancais	2395 R1	Corpo lado fixo	08	Imporpel	EM-GJS-400		Cintia das Graças Kosiba	Ronaldo	23-Jun-23	Engenharia		Inclusão de tolerância no diâmetro externo e no esférico.	Conforme revisão.	Erro de projeto.		R$ 100.00
30997	P4410316701G000	3	1		001.947	Ampliação MP3	Setor pós secagem		Conjunto passadiçlo inferior	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	23-Jun-23	Engenharia		"Inclusão de revisão nas posições 3,4,5 e 6 e alteração de quantidades decorrente das modificações dos trilhos."	Conforme revisão.	Erro.		R$ 100.00
30998	P4410316701M025	3	1		001.947	Pós secagem	Passadiçso inferiores		Módulo 800x1900 com placa	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	23-Jun-23	Engenharia		Inclusão de revisão na posição 1 e substituição do parafuso M10x25 para M10x30mm.	Conforme pede a revisão.	Erro.		R$ 100.00
30999	P4410316701M005	3	1		001.947	Passadiço	Passadiço infeirores		Módulo 800x2000	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	23-Jun-23	Engenharia		Inclusão de revisão na posição 1 e substituição do parafuso M10x25 para M10x30mm.	Conforme revisão.	Erro.		R$ 100.00
31000	P4410316701M009	3	1		001.947	Pós secagem	Passadiços inferiores		Módulo 800x1900	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	23-Jun-23	Engenharia		Inclusão de revisão na posição 1 e  substituição do parafusos M10x25 para M10x30mm.	Conforme pede a revisão.	Erro de projeto.		R$ 100.00
31001	P4410316701M018	3	1		001.947	Pós secagem	Passadiços inferiores		Módulo	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	23-Jun-23	Engenharia		Inclusão de revisão na posição 1 e susbtituição de parafuso M10x25 para M10x30mm.	Conforme revisão.	Erro.		R$ 100.00
31002	P4410316701M013	3	1		001.947	Pós secagem	Passadiços inferirores		Módulo 800x1700	01	Valinhos	SAE1020		João Vitor Pucci	Ronaldo	23-Jun-23	Engenharia		Inclusão de revisão na posição 1 e substituição do parafuso M10x25 para M10x30mm.	Conforme pede a revisão.	Erro de projeto.		R$ 100.00
31003	P52NAP0503	1	1		010.889	Cortador de pontas	Instalação pneumática		Pré pipping pneumático	01	Citroplast	Comercial		Leonardo Kremer	Ronaldo	23-Jun-23	Engenharia		Alteração mangueiras posição 1 e 2 para festo devido baixa qualidade da anteriror.	Conforme revisão.	Alteração.		R$ 100.00
31004	P52NAE0500	1	1		010.889	Cortador de pontas	Automação e controle		Pré pipping	01	Citroplast	Comercial		Leonardo Kremer	Ronaldo	23-Jun-23	Engenharia		"Retirado sensores de fim de curso posição 10, alterado quantidade posição 15."	Conforme pede a revisão.	Erro de projeto.		R$ 100.00
31006	P52NAE0400	3	1		001.947	Cortador de pontas	Automação e controle		Pré pipping elétrico	01	Valinhos	Comercial		Leonardo Kremer	Ronaldo	23-Jun-23	Engenharia		Retirado sensores de fim de curso posição 10 e alterado quantidade posição 15.	Conforme pede a revisão.	Alteração.		R$ 100.00
31007	P70FAM4020	1	1		030.765	Manutenção rebobinadeira	Fixador de tubetes		Conjunto montagem	01	Citroplast	SAE1020		Ricardo Mauda	Ronaldo	23-Jun-23	Engenharia		Alteração posição 40.	Conforme pede a revisão.	Erro.		R$ 100.00
31008	P70NAP4002	1	1		030.765	Manutenção rebobinadeira	Automação e controle		Pré pipping	01	Citroplast	Comercial		Murilo Celestino	Ronaldo	23-Jun-23	Engenharia		Alterado quantidade posição 10.	Conforme pede a revisão.	Erro.		R$ 100.00
31009	P32408H3401E012	8	1		030.192	Prensa umida	Estrutura		Coluna LC superiror 2ª prensa	01	Paraibuna	SAE1020		Mário Dolato Neto	Ronaldo	26-Jun-23	Engenharia		Diminuido 100mm da medida total da coluna conforme solicitação do cliente.	Conforme pede a revisão.	Alteração.		R$ 122.00
31010	P32408H3401E013	8	1		030.192	Prensa umida Ø1590	Estrutura		Coluna LA superior 2ª prensa	01	Paraibuna	SAE1020		Mário Dolato Neto	Ronaldo	26-Jun-23	Engenharia		Diminuido 100mm da medida total da coluna conforme solicitação do cliente.	Conforme pede a revisão.	Alteração.		R$ 122.00
31011	P32101B9101C001	3	2		030.691	Turbo descontaminador	Carcaça		Corpo	01	Sovel	SAE1020		Evellyn Taianara Mello	Ronaldo	26-Jun-23	Engenharia		Alterado posição de montagem da posição 13 e alterado quantidade de 2 para 1 peça e incluso posição 19.	Conforme pede a revisão.	Erro de projeto.		R$ 100.00
31012	P1860418201M005	4	0		020.225	Pós secagem	Rolo guia tela		Labirinto	40	Imporpel	EM-GJL-250		Fundição Campos Gerais	Ronaldo	26-Jun-23	Terceiros		Falha de fundição em 6 peças.	Nova.	Falha.		R$ 100.00
31013	P18604134	4	1		020.225	Pós secagem	Estrutura		Viga LA inferior	01	Imporpel	SAE1020		Daiane Pedroso Bueno	Ronaldo	10-Jul-23	Engenharia		"Alterado medida e posição da furação da peça 6, devido ajustes de projeto do guia corda."	Conforme pede a revisão.	Alteração de projeto.		R$ 100.00
31014	P86NAM4910	3	3		001.947	Sistema guia corda	Montagem		Painel pneumático pós secagem	01	Valinhos	Comercial		Murilo Celestino	Ronaldo	03-Jul-23	Engenharia		Alterado referência e quantidade posição 26 e alterado referência posiçao 34 e 39.		Conforme revisão.	Alteração.	R$ 100.00
31015	P86NAM4900	3	1		001.947	Sistema guia corda	Montagem		Painel pneumático pré secagem	01	Valinhos	Comercial		Leonardo Kremer	Ronaldo	03-Jul-23	Engenharia		"Alterado referência e quantidade posição 15, 26, 36 e 56."	Conforme pede a revisão.	Alteração de projeto.		R$ 100.00
31016	PNS1ZM0121		1		030.817	Refinador	Redutor de avanço		Eixo helicoidal	01	B.O Paper	SAE1045		Matheus de Souza Silva	Ronaldo	26-Jun-23	Engenharia		"Corrigido Ø do material de 2.1/2"" para 2.3/4""."	Nova.	Erro.		R$ 100.00
31017	PNS1ZM0121		1		030.815	Refinador	Redutor de avanço		Eixo helicoidal	01	B.O Paper	SAE1045		Matheus de Souza Silva	Ronaldo	26-Jun-23	Engenharia		"Corrigido Ø do material de 2.1/2"" para 2.3/4""."	Nova.	Erro.		R$ 229.46
31018	P32408H3401E021		1		030.192	Prensa úmida	Estrutura		Coluna intermediária	01	Paraibuna	SAE1020		Mário Dolato Neto	Ronaldo	26-Jun-23	Engenharia		"Alterado para #1/2"" material da posição 11."	Cortar nova.	Erro.		R$ 100.00
31019	P34GAM0937		0		001.947	Ampliação MP3	Posicionador		Travessa	01	Valinhos	SAE1020		Daiane Pedroso Bueno	Ronaldo	27-Jun-23	Engenharia		Pediu verde martelado e o correto é laranja ral 2000.	Conforme revisão.	Erro.		R$ 140.00
31020	PNS1ZM0120		0		030.815	Refinador	Redutor de avanço	Fuco	Roda helicoidal	01	B.O Paper	EM-GJS-400		Anderson Cavalheiro	Ronaldo	27-Jun-23	Produção	Usin. Cilíndrica Convencional	Pediu no desenho 45mm de face e ficou com 40mm.	Conforme pede o desenho.	Erro.		R$ 100.00
31021	P80GAM5601		0		030.920	Rolo curvo RCR-140	Rolo Ø140		Capa externa central	22	Ippel	ASTMA106		Lucimar de Jesus  de Azevedo	Ronaldo	27-Jun-23	Produção	Corte	Pedia no desenho para conferir diâmetro interno e externo antes do corte e não foi conferido.	Nova.	Erro.		R$ 100.00
